rank,feature,h_statistic,p_value
1,BVP_spectral_centroid,243.91191625188003,5.517740300674653e-55
2,BVP_median,234.21002749318328,7.198485580284013e-53
3,TEMP_max,213.8229359020388,2.013003161996581e-48
4,TEMP_q75,212.90331929459703,3.1949496597265545e-48
5,TEMP_energy,212.7911102889102,3.380207183593166e-48
6,TEMP_rms,212.7911102889102,3.380207183593166e-48
7,TEMP_min,212.79037938329384,3.3814484695976793e-48
8,TEMP_median,212.6423970771802,3.642389620442627e-48
9,TEMP_mean,212.59746421016825,3.725537297295462e-48
10,TEMP_q25,210.95794282146647,8.489303238247647e-48
11,EDA_iqr,161.06009389912023,6.637969033734697e-37
12,EDA_std,149.76783789484216,1.948521026237516e-34
13,EDA_var,149.76783789484216,1.948521026237516e-34
14,EDA_peak_power,145.99443166551646,1.3018425112480948e-33
15,EDA_range,140.04217857488948,2.606095182816445e-32
16,EDA_total_power,137.148297280537,1.1190761454307881e-31
17,ACC_z_mean,134.43853959739863,4.3807428821012065e-31
18,EDA_max,127.25085822983449,1.637150539174732e-29
19,ACC_z_q25,124.85081051898817,5.486860064231081e-29
20,ACC_y_max,120.92016443769883,3.9782349271527705e-28
21,ACC_z_median,106.17278691213599,6.757831814443547e-25
22,EDA_q75,103.26569893528784,2.9308397065440988e-24
23,EDA_rms,99.97459428370348,1.543645225608881e-23
24,EDA_energy,99.97459428370348,1.543645225608881e-23
25,ACC_y_q75,99.91105244359522,1.5939726072654861e-23
26,EDA_spectral_centroid,96.44870675355742,9.158610485961319e-23
27,EDA_mean,92.14490673503133,8.055647829530744e-22
28,EDA_median,85.82034349103265,1.9704853210983487e-20
29,ACC_y_mean,80.69639637053297,2.6320169545238012e-19
30,BVP_q75,78.20179803200287,9.303379960027067e-19
31,ACC_mag_mean,77.79459233726448,1.1433275078814403e-18
32,ACC_z_min,77.46637349913793,1.3500140876123965e-18
33,BVP_skewness,77.30966245001764,1.4614928802618264e-18
34,BVP_iqr,76.65958532112863,2.031178102451436e-18
35,BVP_q25,74.67833774233573,5.540068441495234e-18
36,ACC_mag_q75,73.54819114203828,9.820888982462496e-18
37,ACC_y_median,73.428993329436,1.0432238257092517e-17
38,ACC_mag_energy,72.96471923859826,1.3198828039826043e-17
39,ACC_mag_rms,72.96471923859826,1.3198828039826043e-17
40,HR_range,68.80526554514654,1.0868212462516655e-16
41,EDA_q25,68.23104370418643,1.4541828759522618e-16
42,ACC_z_kurtosis,63.554212728895436,1.5601361202741397e-15
43,ACC_z_q75,63.43328487113969,1.6589110790925242e-15
44,HR_std,62.223115305199826,3.066670879770138e-15
45,HR_var,62.223115305199826,3.066670879770138e-15
46,ACC_y_q25,62.149065460575166,3.18418099749478e-15
47,HR_peak_power,60.42958752551567,7.625806970572535e-15
48,HR_total_power,59.38714092484952,1.2951261368865009e-14
49,ACC_mag_median,57.70549845449296,3.044505801812773e-14
50,ACC_mag_iqr,55.435754799997106,9.656395215179031e-14
51,HR_iqr,50.742164513869284,1.0533223385019521e-12
52,ACC_z_iqr,48.76803836976138,2.880966369373548e-12
53,ACC_z_rms,43.954112322464425,3.3616531204214036e-11
54,ACC_z_energy,43.954112322464425,3.3616531204214036e-11
55,BVP_peak_power,40.08423842803075,2.432437212843506e-10
56,ACC_y_iqr,38.50602177624867,5.458500413964689e-10
57,ACC_z_std,34.57159346525805,4.108584268891062e-09
58,ACC_z_var,34.57159346525805,4.108584268891062e-09
59,ACC_y_range,33.617406696417774,6.7089661470395345e-09
60,ACC_x_iqr,33.199076502852314,8.319003174247842e-09
61,HR_max,32.61072743619412,1.1259159259306039e-08
62,ACC_x_var,31.5868181553069,1.9071981772428907e-08
63,ACC_x_std,31.5868181553069,1.9071981772428907e-08
64,ACC_x_kurtosis,28.70642767602476,8.422372091301871e-08
65,ACC_y_var,28.352624620813003,1.0110962745238601e-07
66,ACC_y_std,28.352624620813003,1.0110962745238601e-07
67,ACC_mag_total_power,27.766331878892743,1.3688770864050588e-07
68,ACC_mag_std,27.532635976866004,1.5446590758606414e-07
69,ACC_mag_var,27.532635976866004,1.5446590758606414e-07
70,ACC_x_min,26.22133885679075,3.0443978033298823e-07
71,HR_q75,24.87324302011075,6.122635473627963e-07
72,BVP_var,24.657308151490334,6.848455552631586e-07
73,BVP_std,24.6573079627701,6.848456223271326e-07
74,BVP_energy,24.656561744437298,6.85110851362231e-07
75,BVP_rms,24.656561555722774,6.851109184502239e-07
76,BVP_total_power,24.46634885713347,7.561910299600439e-07
77,ACC_mag_min,21.94051240752079,2.812337983070227e-06
78,ACC_mag_kurtosis,21.115706563261483,4.323696965277796e-06
79,HR_energy,18.926353627575736,1.3586281757377371e-05
80,HR_rms,18.926353627575736,1.3586281757377371e-05
81,BVP_kurtosis,18.89650202680059,1.3800548934115231e-05
82,HR_mean,18.563860091706374,1.6430617695013577e-05
83,HR_median,17.868868785323198,2.3666099090128386e-05
84,ACC_x_q25,17.018284354721192,3.702158843769475e-05
85,BVP_min,16.179827984135763,5.760427665107855e-05
86,ACC_mag_peak_power,15.82356016144331,6.953131124697966e-05
87,ACC_mag_range,15.548714714817834,8.040629322999582e-05
88,ACC_y_kurtosis,15.112022572238857,0.00010131599013485829
89,EDA_kurtosis,14.458356852192082,0.00014329266278769522
90,ACC_z_skewness,13.93355722758497,0.0001893869900282918
91,TEMP_kurtosis,12.97904519693293,0.000314996560853498
92,EDA_min,12.764498057484406,0.00035326037642367493
93,TEMP_spectral_centroid,12.685942665297262,0.00036841481111005793
94,ACC_x_range,12.607630046278661,0.00038417529731390104
95,BVP_range,12.52432978152454,0.0004016869599481854
96,HR_q25,11.88572401116653,0.0005656583299439868
97,ACC_mag_max,11.355833603781074,0.0007521135598581004
98,BVP_max,11.122267929873928,0.0008529742499496509
99,ACC_z_range,11.047779113016114,0.0008879350048375783
100,ACC_x_energy,9.033858625320136,0.0026502447395584995
101,ACC_x_rms,9.033858625320136,0.0026502447395584995
102,EDA_skewness,8.517814377981267,0.0035168660943785336
103,ACC_x_max,8.227787107076589,0.004125380086327264
104,HR_spectral_centroid,7.743383810702653,0.005390968692605614
105,HR_min,7.553820741608433,0.005988297235139796
106,ACC_z_max,6.007265969523446,0.014247085577721851
107,ACC_mag_dominant_freq,6.001221580678774,0.014295976537984695
108,ACC_x_median,5.579691845526029,0.018169919488450877
109,TEMP_iqr,5.254750018653291,0.02188694514631172
110,TEMP_var,4.990146685586296,0.025492047738790432
111,TEMP_std,4.990146685586296,0.025492047738790432
112,ACC_x_skewness,4.409818639927835,0.03573263984555784
113,ACC_x_mean,4.259914599761032,0.039021883110034836
114,ACC_y_min,2.9621329292419696,0.08523543494766517
115,TEMP_peak_power,2.4503417957512283,0.11749928042976888
116,TEMP_total_power,2.1047208499840053,0.14684513932734763
117,ACC_y_energy,2.0400933616037946,0.15320024318984435
118,ACC_y_rms,2.0400933616037946,0.15320024318984435
119,ACC_mag_q25,1.8704414810875236,0.1714245247009668
120,TEMP_range,1.6334172624574421,0.2012310439365971
121,HR_dominant_freq,1.1986527905373563,0.2735911083944408
122,ACC_y_skewness,0.6305688172742521,0.42714674475441416
123,EDA_dominant_freq,0.46717153684065676,0.4942912797415423
124,BVP_dominant_freq,0.4530332243647042,0.5008980330463162
125,HR_kurtosis,0.3668872809230379,0.5447058748555068
126,HR_skewness,0.23210848910275672,0.629964803834084
127,ACC_mag_skewness,0.1751994795704377,0.6755316105197848
128,ACC_x_q75,0.15984320791942078,0.6893009124259772
129,TEMP_skewness,0.15379166095044638,0.6949379291196562
130,TEMP_dominant_freq,0.14777665998745307,0.7006691807507186
131,BVP_mean,0.010979480053863046,0.916547988590596
132,ACC_mag_spectral_centroid,0.006257438511966029,0.9369499235844485
133,ACC_mag_hf_power,0.0,1.0
134,EDA_hf_power,0.0,1.0
135,BVP_hf_power,0.0,1.0
136,HR_hf_power,0.0,1.0
137,TEMP_hf_power,0.0,1.0
